Unnamed: 0,state,x,y
0,darchula,-411,194
1,bajhang,-355,167
2,bajura,-304,156
3,humla,-306,236
4,mugu,-231,155
5,dolpa,-152,121
6,mustang,-36,84
7,manang,5,52
8,gorkha,87,15
9,rasuwa,150,-55
10,dhading,97,-55
11,nuwakot,136,-30
12,sindupalchok,191,-43
13,dolakha,257,-63
14,solukhumbu,309,-93
15,sankhuwashaba,372,-83
16,taplajung,437,-101
17,kalikot,-283,107
18,jumla,-234,111
19,baitadi,-434,141
21,dadeldhura,-446,102
22,doti,-397,100
23,achham,-338,95
24,dailekh,-299,78
25,jajarkot,-235,75
26,rukum,-158,46
27,myagdi,-94,39
28,kaski,-19,9
29,lamjung,32,-3
30,ktm,157,-77
31,bkt,174,-85
32,ltp,150,-100
33,kavre,184,-95
34,okhaldhunga,282,-113
35,khotang,328,-138
36,bhojpur,366,-138
37,dhankuta,395,-163
38,terhathum,430,-141
39,panchthar,457,-150
40,ilam,460,-177
41,jhapa,456,-210
42,morang,414,-203
43,sunsari,377,-196
44,saptari,316,-207
45,siraha,273,-190
46,udaypur,303,-164
47,dhanusha,238,-178
48,mahottari,218,-171
49,sarlahi,178,-200
50,sindhuli,109,-92
51,chitwan,27,-93
52,parsa,93,-127
53,bara,125,-146
54,rautahat,154,-159
55,nawalparasi,-11,-78
56,rupendehi,-42,-96
57,tanahun,12,-41
58,syanja,-34,-38
59,palpa,-75,-60
60,kapilvastu,-144,-80
61,arghakanchi,-134,-59
62,gulmi,-96,-26
63,parbat,-40,-3
64,baglung,-107,9
65,pyuthan,-147,-24
66,rolpa,-190,7
67,salyan,-238,15
68,dang,-210,-39
69,banke,-286,-18
70,surkhet,-301,41
71,bardiya,-321,16
72,kailali,-400,62
73,kanchanpur,-459,77
74,ramechapp,234,-100
75,makwanpur,195,-130
